Region_code,Provider_code,Provider_name,Treatment_function_code,Treatment_function_name,Wait_0_18,Wait_19_52,wait_52_plus,Median_wait,percentile_95,completed_pathways,Time_Period
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_100,General Surgery Service,9,6,17,12,10,11,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_100,General Surgery Service,4,9,12,15,8,4,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_100,General Surgery Service,5,10,23,13,5,8,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_101,Urology Service,4,6,10,16,15,13,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_101,Urology Service,4,7,8,13,16,12,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_101,Urology Service,8,11,17,14,13,10,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,26,11,2,2,2,3,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,29,4,5,2,6,3,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,26,4,3,3,8,2,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,3,6,6,3,3,5,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,1,5,7,11,5,5,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,1,5,7,3,6,5,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_130,Ophthalmology Service,85,38,25,27,39,45,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_130,Ophthalmology Service,70,45,37,47,46,43,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_130,Ophthalmology Service,65,26,21,44,37,26,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_140,Oral Surgery Service,6,11,22,19,31,29,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_140,Oral Surgery Service,8,7,24,18,20,20,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_140,Oral Surgery Service,8,12,17,14,18,7,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_150,Neurosurgical Service,0,0,0,0,0,0,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_150,Neurosurgical Service,0,0,0,0,0,0,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_150,Neurosurgical Service,0,0,0,0,0,0,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,25,3,14,12,8,20,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,39,12,21,25,20,23,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,31,16,18,12,18,8,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,4,3,6,8,6,0,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,6,1,9,8,7,4,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,7,1,5,5,4,3,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,0,0,0,1,0,0,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,1,3,1,0,0,1,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,1,0,0,0,0,0,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_301,Gastroenterology Service,16,17,19,29,16,18,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_301,Gastroenterology Service,19,24,33,53,16,19,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_301,Gastroenterology Service,19,30,29,37,22,19,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_320,Cardiology Service,7,6,9,7,8,8,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_320,Cardiology Service,8,6,7,14,22,15,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_320,Cardiology Service,9,3,7,10,15,9,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_330,Dermatology Service,0,0,0,0,0,0,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_330,Dermatology Service,0,0,0,0,1,0,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_330,Dermatology Service,0,0,0,1,0,0,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,2,3,7,7,1,2,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,7,4,2,5,1,1,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,4,4,3,3,3,3,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_400,Neurology Service,0,0,0,0,0,0,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_400,Neurology Service,1,0,0,0,0,0,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_400,Neurology Service,0,0,0,0,0,0,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_410,Rheumatology Service,1,0,1,1,0,1,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_410,Rheumatology Service,0,2,1,1,0,0,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_410,Rheumatology Service,1,0,1,1,0,1,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,0,0,0,0,0,0,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,0,0,1,0,0,0,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,0,0,0,0,0,0,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_502,Gynaecology Service,46,4,7,8,12,2,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_502,Gynaecology Service,33,12,8,11,11,15,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_502,Gynaecology Service,5,0,7,9,8,5,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X02,Other - Medical Services,12,9,9,7,6,3,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X02,Other - Medical Services,14,14,18,16,10,13,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X02,Other - Medical Services,7,7,8,14,7,7,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X03,Other - Mental Health Services,0,0,0,0,0,0,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X03,Other - Mental Health Services,0,0,0,0,0,0,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X03,Other - Mental Health Services,0,0,0,0,0,0,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X04,Other - Paediatric Services,57,8,10,18,10,13,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X04,Other - Paediatric Services,49,27,18,15,23,16,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X04,Other - Paediatric Services,32,29,11,10,11,13,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X05,Other - Surgical Services,29,34,39,32,25,17,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X05,Other - Surgical Services,30,20,45,44,25,14,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X05,Other - Surgical Services,16,17,22,29,14,22,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X06,Other - Other Services,30,3,1,2,3,2,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X06,Other - Other Services,32,3,6,4,0,1,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X06,Other - Other Services,33,6,3,4,1,3,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_100,General Surgery Service,19,33,23,50,33,28,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_100,General Surgery Service,16,31,35,38,31,38,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_100,General Surgery Service,17,18,48,51,26,32,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_101,Urology Service,6,7,17,27,20,16,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_101,Urology Service,7,11,18,12,18,17,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_101,Urology Service,8,6,18,24,14,30,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,8,11,6,9,19,9,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,5,3,5,13,9,14,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,5,7,6,8,8,13,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,3,4,3,2,2,10,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,5,9,7,5,5,3,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,1,6,13,4,2,6,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_130,Ophthalmology Service,35,14,24,67,83,41,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_130,Ophthalmology Service,28,18,18,127,52,42,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_130,Ophthalmology Service,25,12,20,50,71,31,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_140,Oral Surgery Service,9,6,7,10,13,7,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_140,Oral Surgery Service,10,7,4,9,16,15,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_140,Oral Surgery Service,2,9,8,11,15,17,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_150,Neurosurgical Service,0,0,0,0,0,0,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_150,Neurosurgical Service,0,0,0,0,0,0,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_150,Neurosurgical Service,0,0,0,0,0,0,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,0,0,0,0,0,0,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,0,0,0,0,0,0,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,0,0,0,0,0,0,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,0,0,0,0,0,0,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,0,0,0,0,0,0,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,0,0,0,0,0,0,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,0,0,0,0,0,0,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,0,0,0,0,0,0,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,0,0,0,0,0,0,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_301,Gastroenterology Service,19,99,13,17,8,7,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_301,Gastroenterology Service,7,108,16,6,7,12,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_301,Gastroenterology Service,6,90,26,7,12,8,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_320,Cardiology Service,6,1,4,0,0,1,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_320,Cardiology Service,5,5,2,1,3,1,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_320,Cardiology Service,4,6,6,0,2,1,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_330,Dermatology Service,0,0,0,0,0,0,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_330,Dermatology Service,0,0,0,0,0,0,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_330,Dermatology Service,0,0,0,0,0,0,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,1,3,2,3,1,1,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,2,2,1,2,0,1,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,1,1,0,1,3,1,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_400,Neurology Service,1,0,1,0,0,1,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_400,Neurology Service,1,0,1,0,0,0,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_400,Neurology Service,0,0,0,0,0,0,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_410,Rheumatology Service,1,0,0,0,0,0,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_410,Rheumatology Service,0,0,0,0,0,0,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_410,Rheumatology Service,0,0,0,0,0,0,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,0,0,0,0,0,0,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,0,1,0,0,0,0,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,0,0,0,0,0,0,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_502,Gynaecology Service,5,6,5,8,1,1,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_502,Gynaecology Service,4,2,3,5,4,2,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_502,Gynaecology Service,9,2,3,2,4,2,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X02,Other - Medical Services,4,6,0,0,3,1,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X02,Other - Medical Services,0,4,2,2,0,2,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X02,Other - Medical Services,3,3,0,1,1,0,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X03,Other - Mental Health Services,0,0,0,0,0,0,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X03,Other - Mental Health Services,0,0,0,0,0,0,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X03,Other - Mental Health Services,0,0,0,0,0,0,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X04,Other - Paediatric Services,2,0,0,0,0,0,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X04,Other - Paediatric Services,2,0,0,0,0,1,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X04,Other - Paediatric Services,0,0,0,0,1,1,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X05,Other - Surgical Services,0,1,0,0,1,0,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X05,Other - Surgical Services,0,0,0,0,1,0,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X05,Other - Surgical Services,0,0,0,0,1,1,2025-11-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X06,Other - Other Services,1,0,1,1,0,0,2025-09-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X06,Other - Other Services,0,0,0,0,0,0,2025-10-01
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X06,Other - Other Services,0,0,0,0,0,0,2025-11-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_100,General Surgery Service,9,1,1,4,3,0,2025-09-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_100,General Surgery Service,7,1,4,0,1,2,2025-10-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_100,General Surgery Service,15,4,8,4,0,0,2025-11-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_101,Urology Service,10,7,7,6,15,4,2025-09-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_101,Urology Service,7,4,11,12,11,15,2025-10-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_101,Urology Service,7,9,5,6,7,12,2025-11-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,30,3,3,6,4,2,2025-09-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,42,9,6,9,4,9,2025-10-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,62,9,4,3,3,5,2025-11-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,2,3,4,5,10,11,2025-09-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,3,4,7,10,4,3,2025-10-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,5,5,8,10,6,4,2025-11-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_130,Ophthalmology Service,45,7,13,8,19,10,2025-09-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_130,Ophthalmology Service,40,9,23,15,10,13,2025-10-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_130,Ophthalmology Service,44,14,9,13,21,24,2025-11-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_140,Oral Surgery Service,5,14,8,9,8,4,2025-09-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_140,Oral Surgery Service,6,9,17,18,7,11,2025-10-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_140,Oral Surgery Service,4,10,7,10,6,8,2025-11-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_150,Neurosurgical Service,0,0,0,0,0,0,2025-09-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_150,Neurosurgical Service,0,0,0,0,0,0,2025-10-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_150,Neurosurgical Service,0,0,0,0,0,0,2025-11-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,0,0,0,0,0,0,2025-09-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,0,0,0,0,0,0,2025-10-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,0,0,0,0,0,0,2025-11-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,0,0,0,0,0,0,2025-09-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,0,0,0,0,0,0,2025-10-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,0,0,0,0,0,0,2025-11-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,5,3,1,0,0,0,2025-09-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,8,5,1,1,0,0,2025-10-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,4,0,1,0,0,0,2025-11-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_301,Gastroenterology Service,32,47,46,26,32,35,2025-09-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_301,Gastroenterology Service,37,52,59,41,30,13,2025-10-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_301,Gastroenterology Service,34,38,41,39,24,14,2025-11-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_320,Cardiology Service,13,9,18,13,17,26,2025-09-01
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,C_320,Cardiology Service,11,13,16,27,17,17,2025-10-01
