Region_code,Provider_code,Provider_name,Treatment_function_code,Treatment_function_name,Wait_0_18,Wait_19_52,wait_52_plus,Median_wait,percentile_95,completed_pathways,Time_Period
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_100,General Surgery Service,8,9,14,12,9,8,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_100,General Surgery Service,21,14,13,18,17,21,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_100,General Surgery Service,21,9,6,17,21,10,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_101,Urology Service,45,91,66,33,16,41,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_101,Urology Service,40,101,56,53,32,24,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_101,Urology Service,34,117,79,43,35,39,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,32,18,25,16,19,20,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,53,33,34,30,29,14,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,80,26,24,23,18,27,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,202,204,96,50,31,28,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,163,162,83,57,52,36,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,187,184,118,73,38,29,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_130,Ophthalmology Service,145,49,51,35,61,71,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_130,Ophthalmology Service,113,65,66,71,68,88,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_130,Ophthalmology Service,100,51,39,42,69,68,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_140,Oral Surgery Service,37,105,41,23,28,18,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_140,Oral Surgery Service,28,72,68,46,32,33,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_140,Oral Surgery Service,105,107,65,35,29,34,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_150,Neurosurgical Service,0,0,0,0,0,0,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_150,Neurosurgical Service,0,0,0,0,0,0,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_150,Neurosurgical Service,0,0,0,0,0,0,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,17,17,11,9,2,9,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,24,28,10,7,6,9,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,22,13,15,10,9,11,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,11,10,1,3,4,4,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,19,6,3,3,8,6,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,10,4,5,5,4,3,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,1,1,5,8,1,2,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,2,0,2,3,1,2,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,3,0,1,4,1,4,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_301,Gastroenterology Service,80,147,63,39,25,36,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_301,Gastroenterology Service,107,180,93,105,87,65,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_301,Gastroenterology Service,131,156,74,61,57,48,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_320,Cardiology Service,92,31,34,24,30,26,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_320,Cardiology Service,74,51,34,40,33,24,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_320,Cardiology Service,96,50,31,26,24,33,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_330,Dermatology Service,122,177,129,80,71,52,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_330,Dermatology Service,124,225,85,51,46,22,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_330,Dermatology Service,209,137,65,66,52,23,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,152,52,41,25,38,27,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,166,74,38,43,40,50,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,134,87,37,47,36,44,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_400,Neurology Service,3,0,0,0,0,0,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_400,Neurology Service,2,0,0,0,0,0,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_400,Neurology Service,2,1,0,0,0,0,2025-11-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_410,Rheumatology Service,26,24,21,31,45,46,2025-09-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_410,Rheumatology Service,16,28,38,37,23,41,2025-10-01
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,C_410,Rheumatology Service,18,20,21,38,33,31,2025-11-01
